=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.29 13:21:36 =~=~=~=~=~=~=~=~=~=~=~=
0.1
62443,4.89,0.27
62694,4.89,0.27
62945,4.90,0.24
63196,4.90,0.28
63447,4.88,0.29
63698,4.88,0.29
63949,4.88,0.30
64200,4.88,0.29
64451,4.88,0.27
64702,4.89,0.23
64953,4.90,0.23
65205,4.91,0.23
65456,4.90,0.29
65707,4.88,0.29
65957,4.87,0.29
66208,4.87,0.32
66460,4.87,0.31
66711,4.88,0.32
66962,4.86,0.33
67213,4.86,0.34
67464,4.87,0.34
67715,4.87,0.34
67965,4.87,0.34
68217,4.87,0.34
68468,4.87,0.34
68719,4.87,0.33
68970,4.87,0.35
69221,4.88,0.25
69472,4.90,0.25
69724,4.90,0.25
69975,4.90,0.25
70225,4.88,0.33
70476,4.87,0.31
70727,4.87,0.33
70978,4.87,0.31
71230,4.87,0.31
71481,4.87,0.32
71732,4.87,0.34
71983,4.86,0.34
72233,4.86,0.34
72484,4.86,0.34
72735,4.89,0.34
72987,4.86,0.34
73238,4.86,0.34
73489,4.86,0.32
73740,4.87,0.34
73991,4.89,0.32
74242,4.89,0.26
74493,4.90,0.22
74744,4.91,0.24
74995,4.90,0.24
75246,4.90,0.23
75497,4.90,0.24
75749,4.90,0.25
76000,4.90,0.24
76251,4.90,0.24
76502,4.89,0.32
76752,4.89,0.27
77004,4.88,0.27
77255,4.89,0.26
77506,4.89,0.27
77757,4.89,0.26
78008,4.89,0.32
78260,4.86,0.34
78511,4.86,0.26
78761,4.89,0.25
79012,4.90,0.24
79263,4.90,0.24
79515,4.90,0.23
79766,4.90,0.24
80017,4.90,0.24
80268,4.90,0.25
80519,4.90,0.23
80770,4.91,0.23
81021,4.91,0.22
81272,4.90,0.23
81523,4.90,0.23
81774,4.90,0.27
82026,4.90,0.26
82277,4.90,0.32
82528,4.87,0.32
82779,4.88,0.31
83030,4.87,0.36
83280,4.86,0.34
83531,4.87,0.26
83783,4.89,0.26
84034,4.89,0.24
84285,4.91,0.23
84536,4.90,0.23
84787,4.90,0.24
85039,4.90,0.23
85289,4.90,0.27
85540,4.89,0.28
85791,4.88,0.30
86042,4.88,0.28
86294,4.88,0.28
86545,4.89,0.28
86796,4.88,0.28
87047,4.89,0.29
87298,4.87,0.28
87549,4.89,0.24
87800,4.92,0.20
88051,4.91,0.20
88302,4.92,0.20
88553,4.92,0.19
88805,4.91,0.19
89056,4.92,0.19
89307,4.92,0.19
89558,4.92,0.19
89809,4.92,0.19
90060,4.92,0.19
90311,4.92,0.19
90562,4.92,0.20
90814,4.92,0.19
91065,4.92,0.19
91316,4.92,0.19
91567,4.92,0.20
91817,4.91,0.20
92069,4.91,0.22
92320,4.90,0.22
92571,4.91,0.22
92822,4.91,0.22
93074,4.91,0.22
93325,4.91,0.21
93576,4.91,0.21
93827,4.91,0.22
94078,4.91,0.21
94329,4.91,0.20
94580,4.92,0.19
94831,4.92,0.20
95082,4.92,0.20
95334,4.92,0.19
95585,4.92,0.20
95836,4.91,0.19
96087,4.92,0.19
96338,4.92,0.19
96589,4.92,0.20
96840,4.91,0.19
97091,4.92,0.20
97343,4.92,0.19
97594,4.92,0.20
97845,4.92,0.19
98096,4.92,0.19
98347,4.92,0.19
98598,4.92,0.19
98849,4.92,0.19
99100,4.92,0.19
99351,4.92,0.19
99603,4.92,0.19
99854,4.92,0.19
100105,4.92,0.19
100356,4.92,0.19
100608,4.92,0.19
100858,4.92,0.19
101109,4.92,0.19
