time,voltage,average_voltage
2969000,2.47393,2.47393
8005000,2.462651,2.46829
12921000,2.43848,2.458354
17963000,2.444926,2.454997
23335000,2.452982,2.454594
28792000,2.464262,2.456205
34375000,2.47393,2.458737
40189000,2.472318,2.460435
46488000,2.469096,2.461397
52716000,2.469096,2.462167
115696000,2.443314,2.459105
121390000,2.440091,2.45685
127494000,2.441703,2.457172
133759000,2.456205,2.4583
140318000,2.464262,2.459428
147277000,2.43848,2.45685
154252000,2.44976,2.454433
208370000,2.456205,2.452821
253585000,2.456205,2.451532
294363000,2.464262,2.451049
337744000,2.444926,2.45121
379910000,2.457816,2.452982
430574000,2.456205,2.454433
476754000,2.454594,2.454272
525644000,2.44976,2.452821
569666000,2.452982,2.454271
613036000,2.462651,2.45556
655379000,2.440091,2.453949
698740000,2.456205,2.453949
792268000,2.467484,2.454271
836309000,2.462651,2.456044
882032000,2.444926,2.454755
930226000,2.47393,2.456527
980040000,2.47393,2.458461
1023752000,2.462651,2.45975
1067450000,2.441703,2.458622
1114372000,2.459428,2.4583
1157992000,2.462651,2.460556
1206771000,2.459428,2.460878
1252980000,2.443314,2.458461
1307484000,2.457816,2.457978
1362662000,2.452982,2.458783
1405753000,2.444926,2.455883
1508805000,2.456205,2.45411
1552211000,2.448148,2.45266
1594716000,2.465873,2.455077
1642478000,2.443314,2.453466
1691478000,2.456205,2.452821
1746918000,2.47393,2.454272
1794559000,2.440091,2.453949
1839826000,2.47393,2.455561
1883687000,2.446537,2.454916
1932301000,2.467484,2.457172
1977583000,2.47393,2.458944
2030443000,2.470707,2.4612
2082779000,2.451371,2.45975
2132631000,2.448148,2.460233
2237976000,2.457816,2.460394
2283122000,2.467484,2.45975
2328658000,2.47393,2.463134
2376379000,2.454594,2.4612
2421917000,2.456205,2.462167
2471931000,2.44976,2.460395
2519671000,2.440091,2.457011
2568610000,2.44976,2.454916
2618588000,2.457816,2.455561
2670193000,2.451371,2.455883
2724612000,2.446537,2.454755
2774555000,2.451371,2.453143
2822209000,2.462651,2.452015
2874619000,2.469096,2.453465
2980695000,2.444926,2.452338
3040811000,2.448148,2.452177
3089666000,2.459428,2.45411
3141615000,2.464262,2.45556
3191672000,2.443314,2.45411
3241909000,2.43848,2.452821
3290334000,2.428812,2.451049
3344750000,2.451371,2.451049
3397287000,2.452982,2.450082
3461034000,2.451371,2.448309
3515258000,2.43848,2.447665
3564757000,2.440091,2.446859
3616465000,2.462651,2.447181
3684743000,2.464262,2.447181
3792256000,2.464262,2.449276
3842772000,2.454594,2.450888
3896896000,2.451371,2.453143
3950403000,2.47393,2.455399
4008024000,2.433646,2.453466
4067580000,2.464262,2.454755
4125054000,2.454594,2.456366
4180968000,2.462651,2.458622
4234249000,2.44976,2.457333
4286751000,2.462651,2.457172
4345231000,2.451371,2.455883
4409327000,2.446537,2.455077
4467971000,2.452982,2.455238
4526299000,2.459428,2.453788
4631541000,2.451371,2.45556
4688861000,2.467484,2.455883
4743015000,2.47393,2.457816
4796865000,2.457816,2.457333
4853556000,2.456205,2.457978
4911745000,2.465873,2.4583
4964840000,2.443314,2.457494
5023955000,2.454594,2.4583
5077377000,2.459428,2.458944
5134231000,2.464262,2.459428
5192504000,2.443314,2.458622
5255818000,2.444926,2.456366
5312333000,2.470707,2.456044
5376758000,2.456205,2.455883
5497192000,2.459428,2.456205
5555737000,2.464262,2.456044
5614441000,2.446537,2.456366
5674494000,2.43848,2.454755
5733752000,2.462651,2.455077
5789543000,2.459428,2.454594
5844688000,2.451371,2.455399
5904732000,2.454594,2.456366
5965746000,2.47393,2.456688
6031693000,2.465873,2.457655
6092138000,2.43848,2.455561
6153577000,2.457816,2.454916
6210717000,2.469096,2.457172
6271566000,2.459428,2.459267
6382102000,2.464262,2.459428
6447455000,2.459428,2.459428
6509022000,2.464262,2.460717
6573107000,2.457816,2.461039
6634160000,2.462651,2.459911
6692916000,2.43848,2.457172
6751971000,2.465873,2.459911
6810933000,2.446537,2.458783
6869194000,2.432035,2.455077
6932136000,2.464262,2.45556
6996991000,2.452982,2.454433
7061309000,2.465873,2.455077
7169153000,2.44976,2.453627
7212204000,2.443314,2.452177
7316348000,2.440091,2.449921
7359553000,2.457816,2.451855
7403168000,2.472318,2.452499
7448850000,2.44976,2.452821
7491487000,2.451371,2.454755
7534922000,2.432035,2.451532
7574303000,2.457816,2.452016
7614209000,2.462651,2.451693
7656765000,2.443314,2.451049
7697973000,2.456205,2.452338
7741553000,2.443314,2.45266
7783189000,2.462651,2.453143
7831864000,2.443314,2.450243
7874486000,2.462651,2.451532
7966074000,2.451371,2.451532
8004698000,2.436869,2.452015
8045653000,2.44976,2.45121
8088112000,2.43848,2.448793
8135779000,2.469096,2.451371
8182862000,2.451371,2.450887
8226772000,2.451371,2.451693
8266757000,2.462651,2.451693
8307458000,2.47393,2.454755
8353240000,2.452982,2.453788
8397066000,2.44976,2.453627
8443436000,2.452982,2.455238
8491774000,2.457816,2.456044
8536525000,2.464262,2.458622
8640491000,2.44976,2.456689
8683804000,2.456205,2.457172
8729300000,2.451371,2.457172
8771140000,2.444926,2.455399
8818992000,2.451371,2.453143
8867726000,2.446537,2.452499
8912899000,2.47393,2.454916
8963802000,2.44976,2.454594
9006906000,2.446537,2.453466
9053772000,2.470707,2.45411
9099512000,2.443314,2.453466
9148796000,2.461039,2.453949
9198331000,2.441703,2.452982
9247342000,2.456205,2.45411
9347863000,2.457816,2.454755
9391576000,2.456205,2.455722
9434621000,2.451371,2.453466
9480026000,2.43848,2.452338
9523160000,2.44976,2.45266
9574868000,2.451371,2.450726
9627065000,2.44976,2.451371
9679055000,2.465873,2.451854
9728212000,2.457816,2.453466
9777294000,2.457816,2.453627
9827355000,2.44976,2.452821
9876650000,2.454594,2.45266
9925967000,2.454594,2.452982
9976024000,2.436869,2.452821
10086095000,2.452982,2.453143
10134638000,2.444926,2.452499
10180621000,2.47393,2.454916
10229156000,2.469096,2.455238
10278151000,2.470707,2.456527
10332986000,2.451371,2.455883
10384094000,2.464262,2.457333
10437095000,2.472318,2.459105
10486272000,2.452982,2.458944
10537232000,2.470707,2.462328
10584727000,2.454594,2.462489
10635662000,2.423978,2.460395
10685760000,2.464262,2.459428
10737188000,2.454594,2.457978
10840895000,2.454594,2.456366
10894323000,2.452982,2.456527
10950848000,2.465873,2.456688
11001109000,2.47393,2.45685
11051571000,2.465873,2.458139
11103475000,2.459428,2.457011
11152406000,2.451371,2.456688
11207679000,2.452982,2.459589
11259939000,2.43848,2.457011
11323767000,2.459428,2.457494
11384432000,2.452982,2.457333
11435404000,2.452982,2.457333
11493073000,2.441703,2.454916
11550799000,2.441703,2.451693
11660924000,2.464262,2.451532
11717108000,2.443314,2.449921
11772402000,2.452982,2.450082
11835317000,2.451371,2.449921
11890196000,2.44976,2.451049
11943105000,2.440091,2.449115
11994299000,2.459428,2.449759
12050254000,2.457816,2.450243
12105463000,2.462651,2.452338
12166991000,2.456205,2.453788
12224798000,2.459428,2.453305
12281215000,2.472318,2.456205
12340907000,2.464262,2.457333
12396605000,2.441703,2.456366
12501921000,2.454594,2.456849
12557389000,2.448148,2.457655
12613696000,2.459428,2.457655
12672757000,2.459428,2.457816
12726773000,2.467484,2.4583
12782522000,2.43848,2.456527
12839506000,2.469096,2.457494
12899136000,2.456205,2.455883
12958966000,2.448148,2.454271
13015654000,2.452982,2.455399
13071527000,2.464262,2.456366
13132211000,2.451371,2.456688
13190386000,2.456205,2.456366
13256499000,2.457816,2.456205
13371705000,2.470707,2.456527
13429564000,2.443314,2.457011
13486415000,2.452982,2.455399
13543146000,2.454594,2.455238
13600088000,2.469096,2.457333
13655491000,2.451371,2.457172
13715620000,2.47393,2.458138
13773986000,2.470707,2.460072
13843487000,2.436869,2.458139
13901838000,2.446537,2.457011
13958064000,2.459428,2.455883
14017956000,2.47393,2.458944
14090724000,2.464262,2.460072
14153608000,2.464262,2.461039
14266707000,2.446537,2.458783
14327941000,2.456205,2.459267
14387357000,2.451371,2.457011
14450822000,2.446537,2.454594
14517153000,2.47393,2.4583
14581698000,2.454594,2.459105
14645217000,2.472318,2.460394
14739792000,2.441703,2.457172
14784591000,2.454594,2.456205
14835570000,2.462651,2.456044
14881880000,2.451371,2.456527
14926566000,2.467484,2.457655
14963717000,2.454594,2.457977
15007914000,2.461039,2.459427
15107117000,2.451371,2.457172
15149492000,2.441703,2.455883
15192619000,2.446537,2.453305
15237190000,2.472318,2.456366
15277835000,2.440091,2.454916
15321816000,2.465873,2.455238
15363063000,2.457816,2.455883
15407801000,2.446537,2.453788
15450909000,2.464262,2.454755
15499185000,2.452982,2.453949
15541275000,2.464262,2.455238
15592176000,2.443314,2.455399
15637697000,2.462651,2.457011
15682609000,2.432035,2.452982
15781693000,2.436869,2.45266
15827577000,2.459428,2.452015
15872650000,2.47393,2.453627
15912163000,2.457816,2.454755
15953478000,2.430423,2.451371
15997028000,2.462651,2.452338
16044333000,2.472318,2.453144
16094779000,2.465873,2.455399
16141068000,2.464262,2.455561
16188190000,2.446537,2.457011
16230265000,2.451371,2.458461
16278490000,2.433646,2.455883
16323529000,2.457816,2.454271
16373309000,2.47393,2.455883
16481568000,2.415921,2.454433
16532118000,2.472318,2.4554
16582081000,2.457816,2.453949
16628301000,2.457816,2.453144
16673570000,2.448148,2.451532
16718670000,2.452982,2.452177
16763351000,2.459428,2.452982
16811593000,2.452982,2.454916
16862963000,2.454594,2.454593
16913824000,2.446537,2.451854
16960562000,2.452982,2.45556
17010644000,2.454594,2.453788
17061523000,2.44976,2.452982
17113011000,2.462651,2.453466
17217058000,2.459428,2.454594
17268597000,2.427201,2.452015
17319646000,2.452982,2.451371
17369089000,2.452982,2.451371
17415462000,2.457816,2.451693
17462112000,2.43848,2.450888
17512897000,2.452982,2.450887
17559829000,2.459428,2.451371
17608992000,2.451371,2.451532
17657501000,2.469096,2.452177
17712154000,2.469096,2.453143
17763524000,2.464262,2.45685
17811751000,2.433646,2.454916
17866089000,2.454594,2.455077
17971625000,2.467484,2.456044
18023106000,2.451371,2.457333
18077319000,2.440091,2.456044
18131962000,2.459428,2.456044
18183211000,2.428812,2.453788
18230173000,2.43848,2.450727
18279494000,2.446537,2.448471
18334048000,2.432035,2.445248
18385881000,2.446537,2.446537
18439124000,2.467484,2.447826
18497179000,2.472318,2.448309
18550436000,2.456205,2.448793
18604513000,2.44976,2.44976
18658852000,2.469096,2.450727
18763203000,2.457816,2.453627
18812288000,2.47393,2.457172
18864346000,2.456205,2.458139
18918775000,2.456205,2.460556
18969471000,2.44976,2.460878
19025961000,2.456205,2.45975
19077567000,2.454594,2.457978
19131453000,2.454594,2.457817
19187019000,2.44976,2.457816
19246182000,2.459428,2.45685
19301771000,2.465873,2.457655
19357911000,2.446537,2.454916
19413944000,2.451371,2.454432
19465293000,2.465873,2.455399
19576391000,2.443314,2.454755
19631123000,2.446537,2.453788
19683694000,2.461039,2.454432
19744900000,2.44976,2.453949
19806865000,2.43848,2.452821
19865432000,2.443314,2.45121
19923265000,2.465873,2.45121
19979968000,2.441703,2.450726
