time,voltage,average_voltage
59633000,4.740096,4.740096
64454000,4.770712,4.755404
69046000,4.751376,4.754061
73902000,4.783603,4.761447
78901000,4.777157,4.764589
83991000,4.759432,4.76373
89297000,4.722371,4.757821
95057000,4.73365,4.7548
100999000,4.783603,4.758
107280000,4.765878,4.758788
113506000,4.74493,4.759271
170355000,4.736874,4.755887
175866000,4.777157,4.758466
181709000,4.741707,4.754276
187739000,4.788436,4.755404
194487000,4.761044,4.755565
201338000,4.788436,4.762172
259983000,4.746542,4.763461
306850000,4.78038,4.763138
348454000,4.759432,4.762494
389198000,4.788436,4.766845
432333000,4.783603,4.771518
473569000,4.748153,4.768617
523155000,4.751376,4.769584
569130000,4.802939,4.771035
616778000,4.732039,4.768134
660977000,4.777157,4.767006
705975000,4.777157,4.770067
748160000,4.757821,4.767811
793172000,4.762655,4.768133
884648000,4.788436,4.768133
928607000,4.772323,4.767005
974293000,4.732039,4.765394
1021329000,4.770712,4.767328
1071309000,4.746542,4.761688
1115480000,4.781991,4.766684
1158815000,4.773934,4.766361
1203268000,4.775546,4.7662
1246750000,4.796493,4.770067
1295965000,4.794882,4.77329
1341754000,4.752987,4.769745
1397388000,4.757821,4.768295
1450274000,4.773934,4.772484
1493651000,4.759432,4.771356
1544585000,4.794882,4.77619
1649294000,4.773934,4.775384
1691672000,4.73365,4.771356
1742490000,4.764266,4.770228
1792633000,4.798105,4.770389
1846864000,4.777157,4.768617
1895226000,4.783603,4.771678
1940504000,4.748153,4.770712
1985293000,4.783603,4.771679
2036176000,4.749764,4.770712
2083472000,4.798105,4.771034
2137403000,4.761044,4.769745
2189970000,4.772323,4.773612
2239957000,4.736874,4.770873
2291659000,4.793271,4.77039
2340801000,4.764266,4.769101
2438737000,4.786825,4.769423
2486227000,4.773934,4.772001
2533022000,4.727205,4.76636
2584236000,4.74493,4.765877
2631444000,4.770712,4.763139
2678807000,4.759432,4.762977
2727356000,4.78038,4.763783
2781031000,4.777157,4.767812
2832634000,4.801328,4.768617
2883749000,4.764266,4.768617
