time,voltage,average_voltage
4271000,2.457816,2.457816
509946000,2.430423,2.44412
1015443000,2.444926,2.444388
1521169000,2.428812,2.440494
2026674000,2.44976,2.442347
2594090000,2.427201,2.439823
3099448000,2.454594,2.441933
3605091000,2.452982,2.443314
4110884000,2.446537,2.443672
4617108000,2.454594,2.444764
5123512000,2.454594,2.445658
5630319000,2.443314,2.445462
6193743000,2.452982,2.446041
6699760000,2.462651,2.447227
7206005000,2.452982,2.447611
7712645000,2.444926,2.447443
8219804000,2.452982,2.447769
8773971000,2.43848,2.447253
9317454000,2.430423,2.446368
9920427000,2.436869,2.445893
10466975000,2.440091,2.445616
11010031000,2.436869,2.445219
11550908000,2.444926,2.445206
12095543000,2.446537,2.445262
12640076000,2.459428,2.445828
13188848000,2.457816,2.446289
13732906000,2.448148,2.446358
14285606000,2.430423,2.445789
14830509000,2.440091,2.445593
15378261000,2.44976,2.445732
15923571000,2.43848,2.445498
16469911000,2.444926,2.44548
17081998000,2.441703,2.445365
17628957000,2.440091,2.44521
18180415000,2.432035,2.444834
18723664000,2.433646,2.444523
19267336000,2.427201,2.444055
19813323000,2.457816,2.444417
20359588000,2.456205,2.444719
20909286000,2.44976,2.444845
21463689000,2.462651,2.44528
22017091000,2.44976,2.445386
22560956000,2.440091,2.445263
23111151000,2.459428,2.445585
23659423000,2.444926,2.44557
24278389000,2.457816,2.445837
24827654000,2.462651,2.446195
25379515000,2.41431,2.44553
25930216000,2.427201,2.445156
26480064000,2.423978,2.444733
27028263000,2.44976,2.444831
27576554000,2.428812,2.444523
28124808000,2.412699,2.443923
28671254000,2.441703,2.443882
29222052000,2.412699,2.443315
29775791000,2.436869,2.4432
30330363000,2.391751,2.442297
30889314000,2.411087,2.441759
31500693000,2.422367,2.44143
32053055000,2.401419,2.440763
32605114000,2.420755,2.440435
33159925000,2.396585,2.439728
33714015000,2.391751,2.438967
34271187000,2.393362,2.438254
34828000000,2.415921,2.437911
35381144000,2.423978,2.4377
35933722000,2.40303,2.437182
36483943000,2.401419,2.436656
37035609000,2.407864,2.436239
37588725000,2.428812,2.436133
38139139000,2.404642,2.435689
38754424000,2.407864,2.435303
39307286000,2.412699,2.434993
39862309000,2.399808,2.434518
40416418000,2.407864,2.434163
40966521000,2.417533,2.433944
41516803000,2.398196,2.433479
42067232000,2.393362,2.432965
42619088000,2.407864,2.432647
43176394000,2.39014,2.432116
43734691000,2.415921,2.431916
44293284000,2.404642,2.431583
44850428000,2.412699,2.431356
45403984000,2.423978,2.431268
46019246000,2.41431,2.431069
46580969000,2.415921,2.430893
47139923000,2.40303,2.430572
47694996000,2.407864,2.430314
48250128000,2.41431,2.430135
48807666000,2.404642,2.429851
49364479000,2.406253,2.429592
49917927000,2.401419,2.429286
50474264000,2.41431,2.429125
51030012000,2.401419,2.42883
51583536000,2.412699,2.42866
52141651000,2.393362,2.428292
52702060000,2.401419,2.428015
53325494000,2.423978,2.427974
53886678000,2.401419,2.427706
54443894000,2.393362,2.427362
54999235000,2.394974,2.427042
55556019000,2.423978,2.427011
56119987000,2.417533,2.426919
56678356000,2.417533,2.426829
57237130000,2.427201,2.426833
57797004000,2.404642,2.426623
58352381000,2.404642,2.426418
58907909000,2.393362,2.426112
59467170000,2.391751,2.425797
60022863000,2.398196,2.425546
