time,voltage,average_voltage
3195000,2.41431,2.41431
563234000,2.428812,2.421561
1068189000,2.419144,2.420755
1573244000,2.432035,2.423575
2078371000,2.406253,2.420111
2583671000,2.436869,2.422904
3089351000,2.425589,2.423287
3595337000,2.412699,2.421964
4101515000,2.430423,2.422904
4608044000,2.43848,2.424461
5165711000,2.419144,2.423978
5671570000,2.417533,2.423441
6177719000,2.419144,2.42311
6684091000,2.425589,2.423287
7190897000,2.41431,2.422689
7698016000,2.417533,2.422367
8256335000,2.430423,2.422841
8801047000,2.43848,2.423709
9346316000,2.415921,2.4233
9894015000,2.417533,2.423011
10435118000,2.41431,2.422597
10978218000,2.417533,2.422367
11520517000,2.417533,2.422157
12062535000,2.401419,2.421293
12609459000,2.417533,2.421142
13153555000,2.425589,2.421313
13704839000,2.419144,2.421233
14253033000,2.433646,2.421676
14853495000,2.406253,2.421144
15396221000,2.415921,2.42097
15944475000,2.411087,2.420652
16493072000,2.423978,2.420756
17044998000,2.430423,2.421048
17593120000,2.427201,2.421229
18136649000,2.441703,2.421814
18680605000,2.430423,2.422053
19228172000,2.427201,2.422193
19773164000,2.43848,2.422621
20323661000,2.427201,2.422739
20873682000,2.441703,2.423213
21419980000,2.428812,2.423349
21969621000,2.436869,2.423671
22568701000,2.451371,2.424315
23112065000,2.444926,2.424783
23657647000,2.441703,2.425159
24203608000,2.469096,2.426115
24750811000,2.491755,2.427511
25300006000,2.47393,2.428478
25856009000,2.461039,2.429143
26406264000,2.465873,2.429877
26954814000,2.451371,2.430299
27502082000,2.452982,2.430735
28051137000,2.443314,2.430972
28600011000,2.454594,2.43141
29151903000,2.47393,2.432183
29703027000,2.454594,2.432583
30311700000,2.43848,2.432686
30862071000,2.47393,2.433397
31406700000,2.456205,2.433784
31955431000,2.465873,2.434319
32510119000,2.465873,2.434836
33062183000,2.465873,2.435336
33612445000,2.44976,2.435565
34169703000,2.493367,2.436468
34719886000,2.475642,2.437071
35274231000,2.451371,2.437288
35824025000,2.478865,2.437908
36375387000,2.493367,2.438724
36925623000,2.493367,2.439516
37479179000,2.491755,2.440262
38088605000,2.47393,2.440736
38638686000,2.47393,2.441197
39197535000,2.478865,2.441713
39763131000,2.467484,2.442061
40316639000,2.44976,2.442164
40865503000,2.467484,2.442497
41417011000,2.47393,2.442905
41972980000,2.451371,2.443013
42535930000,2.47393,2.443405
43103627000,2.490144,2.443989
43660943000,2.50948,2.444798
44214151000,2.475642,2.445174
44773646000,2.462651,2.445384
45327255000,2.456205,2.445513
45938639000,2.454594,2.44562
46506040000,2.44976,2.445668
47065490000,2.452982,2.445752
47626210000,2.478865,2.446128
48183525000,2.480476,2.446514
48742461000,2.433646,2.446371
49299343000,2.47393,2.446674
49851876000,2.47393,2.44697
50405632000,2.491755,2.447452
50963154000,2.456205,2.447545
51527589000,2.47393,2.447823
52092056000,2.48531,2.448213
52651846000,2.464262,2.448378
53206152000,2.470707,2.448606
53817641000,2.478865,2.448912
54374381000,2.472318,2.449146
54929836000,2.480476,2.449456
55486197000,2.480476,2.44976
56047542000,2.470707,2.449964
56602963000,2.464262,2.450101
57161345000,2.465873,2.450251
57722471000,2.47393,2.450475
58276512000,2.47393,2.450694
58836438000,2.47393,2.450909
59392114000,2.477253,2.451151
59953536000,2.464262,2.45127
60513969000,2.456205,2.451314
61076537000,2.47393,2.451517
61693610000,2.469096,2.451672
62260586000,2.475642,2.451882
62820089000,2.469096,2.452032
63382559000,2.459428,2.452096
63941421000,2.47393,2.452282
64502683000,2.47393,2.452466
65065345000,2.446537,2.452416
65628159000,2.475642,2.45261
66191367000,2.462651,2.452693
66749955000,2.446537,2.452642
67308603000,2.47393,2.452815
67868677000,2.459428,2.452869
68428906000,2.454594,2.452883
68991563000,2.457816,2.452922
69614060000,2.454594,2.452935
70176481000,2.47393,2.453099
70742346000,2.47393,2.453261
71300756000,2.472318,2.453407
71862675000,2.47393,2.453564
72422231000,2.469096,2.453681
72988753000,2.47393,2.453834
73553680000,2.472318,2.453972
74160897000,2.464262,2.454048
74703653000,2.454594,2.454052
75245212000,2.452982,2.454044
75786900000,2.47393,2.454188
76327216000,2.457816,2.454214
76865928000,2.441703,2.454125
77472892000,2.446537,2.454071
78018007000,2.41431,2.453791
78565348000,2.472318,2.453921
79117525000,2.465873,2.454004
79659555000,2.441703,2.453919
80205129000,2.457816,2.453946
80750464000,2.448148,2.453906
81299878000,2.47393,2.454042
81846533000,2.470707,2.454154
82396186000,2.452982,2.454146
82947917000,2.456205,2.454159
83495597000,2.464262,2.454226
84039697000,2.451371,2.454207
84580471000,2.452982,2.454199
85178386000,2.432035,2.454056
85723551000,2.432035,2.453915
86267769000,2.436869,2.453806
86813065000,2.443314,2.45374
87358851000,2.457816,2.453766
87908156000,2.459428,2.453801
88454813000,2.457816,2.453826
88996940000,2.440091,2.453742
89540368000,2.462651,2.453796
90083511000,2.446537,2.453752
90627557000,2.441703,2.453679
91177056000,2.457816,2.453704
91726133000,2.451371,2.45369
92274616000,2.452982,2.453686
92880412000,2.44976,2.453663
93428211000,2.440091,2.453583
93973070000,2.43848,2.453494
94518776000,2.469096,2.453585
95067599000,2.432035,2.45346
95615989000,2.436869,2.453365
96165693000,2.464262,2.453427
96716006000,2.444926,2.453379
97262801000,2.470707,2.453477
97811020000,2.462651,2.453528
98361218000,2.452982,2.453525
98907747000,2.440091,2.453451
99459193000,2.459428,2.453484
100012528000,2.47393,2.453596
100616826000,2.457816,2.453619
101169706000,2.47393,2.45373
101719250000,2.469096,2.453813
102278130000,2.456205,2.453825
102827492000,2.464262,2.453882
103385172000,2.477253,2.454006
103935184000,2.444926,2.453958
104487429000,2.47393,2.454063
105040085000,2.452982,2.454057
105588025000,2.456205,2.454068
106136641000,2.457816,2.454088
106688980000,2.44976,2.454066
107237558000,2.441703,2.454002
107791911000,2.448148,2.453972
108406641000,2.444926,2.453926
108960210000,2.454594,2.45393
109512891000,2.441703,2.453868
110065683000,2.436869,2.453783
110617305000,2.459428,2.453811
111167268000,2.464262,2.453863
111718500000,2.433646,2.453764
112272752000,2.454594,2.453768
112826860000,2.432035,2.453662
113379166000,2.457816,2.453682
113934712000,2.456205,2.453694
114488413000,2.422367,2.453543
115039946000,2.475642,2.453649
115595154000,2.452982,2.453646
116203119000,2.454594,2.453651
116761161000,2.454594,2.453655
117315841000,2.457816,2.453675
117876748000,2.451371,2.453664
118431926000,2.443314,2.453616
118985370000,2.440091,2.453553
119537933000,2.43848,2.453483
120092999000,2.456205,2.453496
120644784000,2.465873,2.453552
121198669000,2.454594,2.453557
121758790000,2.443314,2.453511
122316497000,2.441703,2.453457
122877076000,2.43848,2.45339
123440956000,2.446537,2.45336
