time,voltage,average_voltage
0,2.440091,2.440091
0,2.457816,2.448954
0,2.44976,2.449223
0,2.469096,2.454191
0,2.446537,2.45266
0,2.454594,2.452982
0,2.462651,2.454364
0,2.454594,2.454392
0,2.456205,2.454594
0,2.469096,2.456044
0,2.456205,2.457655
0,2.451371,2.457011
0,2.457816,2.457816
0,2.456205,2.456527
0,2.464262,2.4583
0,2.467484,2.459589
0,2.469096,2.460233
0,2.464262,2.4612
0,2.452982,2.460878
0,2.454594,2.459428
0,2.444926,2.4583
0,2.467484,2.459911
0,2.462651,2.460395
0,2.462651,2.461039
0,2.457816,2.460395
0,2.451371,2.458783
1,2.459428,2.457816
1,2.457816,2.457172
1,2.457816,2.457655
1,2.436869,2.455883
1,2.44976,2.456366
1,2.44976,2.454594
1,2.456205,2.453949
1,2.456205,2.453305
1,2.462651,2.453788
1,2.467484,2.455399
1,2.446537,2.45411
1,2.454594,2.453788
1,2.465873,2.454594
1,2.44976,2.455883
1,2.44976,2.455883
1,2.441703,2.455077
1,2.451371,2.454594
1,2.472318,2.456205
1,2.454594,2.455399
1,2.440091,2.45266
1,2.456205,2.453627
2,2.44976,2.453144
2,2.44976,2.451532
2,2.457816,2.452338
2,2.448148,2.452177
2,2.462651,2.454272
2,2.465873,2.455722
2,2.451371,2.453627
2,2.454594,2.453627
2,2.457816,2.455399
2,2.47393,2.457172
2,2.457816,2.457978
2,2.467484,2.45975
2,2.451371,2.459105
2,2.440091,2.4583
2,2.457816,2.457816
2,2.44976,2.456205
2,2.440091,2.455077
2,2.440091,2.453627
2,2.457816,2.453627
2,2.47393,2.453627
3,2.44976,2.452821
3,2.433646,2.449437
3,2.470707,2.451371
3,2.440091,2.451371
3,2.440091,2.449599
3,2.451371,2.44976
3,2.440091,2.44976
3,2.464262,2.452177
3,2.467484,2.453143
3,2.440091,2.449759
3,2.454594,2.450243
3,2.448148,2.451693
3,2.459428,2.450565
3,2.451371,2.451693
3,2.462651,2.453949
3,2.44976,2.453788
3,2.444926,2.454272
3,2.472318,2.455077
4,2.456205,2.453949
4,2.457816,2.455722
4,2.472318,2.457494
4,2.446537,2.457333
4,2.454594,2.45685
4,2.446537,2.456366
4,2.43848,2.453949
4,2.470707,2.456044
4,2.452982,2.45685
4,2.470707,2.456688
4,2.456205,2.456688
4,2.448148,2.455722
4,2.457816,2.454272
4,2.446537,2.454272
4,2.448148,2.453627
4,2.44976,2.453949
4,2.470707,2.457172
4,2.472318,2.457333
4,2.465873,2.458622
5,2.441703,2.455722
5,2.444926,2.454593
5,2.464262,2.456205
5,2.47393,2.457816
5,2.443314,2.457494
5,2.454594,2.458138
5,2.451371,2.4583
5,2.448148,2.456044
5,2.443314,2.453143
5,2.441703,2.450726
5,2.451371,2.451693
5,2.440091,2.45121
5,2.443314,2.449115
5,2.444926,2.446214
5,2.440091,2.445892
5,2.457816,2.446215
5,2.456205,2.446698
5,2.467484,2.448632
6,2.444926,2.448793
6,2.467484,2.451371
6,2.469096,2.453144
6,2.448148,2.453949
6,2.457816,2.455399
6,2.430423,2.453949
6,2.446537,2.454594
6,2.456205,2.454433
6,2.464262,2.455238
6,2.44976,2.453466
6,2.440091,2.452982
6,2.448148,2.451049
6,2.469096,2.451049
6,2.459428,2.452177
6,2.446537,2.451048
6,2.462651,2.454271
7,2.452982,2.454916
7,2.454594,2.454755
7,2.459428,2.454271
7,2.457816,2.455077
7,2.44976,2.456044
7,2.446537,2.455883
7,2.43848,2.452821
7,2.446537,2.451532
7,2.446537,2.451532
7,2.444926,2.449759
7,2.432035,2.447665
7,2.43848,2.446054
7,2.459428,2.446054
7,2.454594,2.445731
7,2.464262,2.447181
7,2.462651,2.448793
7,2.435257,2.448471
8,2.469096,2.450726
8,2.451371,2.45121
8,2.470707,2.453788
8,2.43848,2.454432
8,2.454594,2.456044
8,2.44976,2.455077
8,2.472318,2.45685
8,2.452982,2.455722
8,2.459428,2.455399
8,2.454594,2.457333
8,2.444926,2.454916
8,2.444926,2.454271
8,2.443314,2.451532
8,2.47393,2.455077
8,2.452982,2.454916
8,2.465873,2.456527
8,2.462651,2.45556
9,2.451371,2.455399
9,2.440091,2.453466
9,2.452982,2.453305
9,2.443314,2.453143
9,2.452982,2.453949
9,2.436869,2.453305
9,2.451371,2.451048
9,2.443314,2.450082
9,2.451371,2.448631
9,2.462651,2.448632
9,2.451371,2.448632
9,2.456205,2.450243
9,2.456205,2.450565
9,2.451371,2.451371
9,2.43848,2.449921
9,2.451371,2.451371
10,2.469096,2.453143
10,2.451371,2.453949
10,2.470707,2.455883
10,2.462651,2.455883
10,2.451371,2.455883
10,2.457816,2.456044
10,2.443314,2.454755
10,2.456205,2.455238
10,2.44976,2.456366
10,2.465873,2.457817
10,2.44976,2.455883
10,2.457816,2.456527
10,2.440091,2.453466
10,2.454594,2.45266
10,2.457816,2.453305
10,2.451371,2.45266
10,2.454594,2.453788
10,2.44976,2.453144
11,2.441703,2.452338
11,2.443314,2.450082
11,2.441703,2.449276
11,2.47393,2.450888
11,2.43848,2.450726
11,2.44976,2.450243
11,2.467484,2.45121
11,2.454594,2.451532
11,2.452982,2.451371
11,2.443314,2.450726
11,2.47393,2.453949
11,2.451371,2.454755
11,2.470707,2.457655
11,2.44976,2.455238
11,2.433646,2.454755
11,2.47393,2.457172
11,2.444926,2.454916
11,2.451371,2.454593
11,2.465873,2.455883
11,2.462651,2.457816
12,2.465873,2.457011
12,2.454594,2.457333
12,2.472318,2.457494
12,2.457816,2.4583
12,2.436869,2.458622
12,2.452982,2.456527
12,2.452982,2.457333
12,2.451371,2.457333
12,2.459428,2.456688
12,2.461039,2.456527
12,2.457816,2.455721
12,2.44976,2.455238
12,2.456205,2.453627
12,2.469096,2.454755
12,2.454594,2.456527
12,2.443314,2.45556
12,2.441703,2.454432
12,2.44976,2.454272
12,2.47393,2.455722
12,2.454594,2.455077
13,2.44976,2.454272
13,2.465873,2.455883
13,2.456205,2.455883
13,2.464262,2.4554
13,2.452982,2.455238
13,2.43848,2.454755
13,2.452982,2.455883
13,2.456205,2.456527
13,2.462651,2.455399
13,2.446537,2.454594
13,2.441703,2.453788
13,2.464262,2.453627
13,2.47393,2.4554
13,2.444926,2.453466
13,2.456205,2.453788
13,2.452982,2.455238
13,2.44976,2.454916
13,2.440091,2.453305
13,2.454594,2.452499
14,2.459428,2.453788
14,2.475642,2.457181
14,2.465873,2.457343
14,2.472318,2.457182
14,2.448148,2.457504
14,2.465873,2.458471
14,2.452982,2.458471
14,2.448148,2.45831
14,2.446537,2.458955
14,2.459428,2.459438
14,2.452982,2.458793
14,2.465873,2.457816
14,2.459428,2.457172
14,2.470707,2.457011
14,2.470707,2.459267
14,2.44976,2.457655
14,2.467484,2.459106
14,2.467484,2.461039
14,2.451371,2.461522
15,2.472318,2.462811
15,2.465873,2.4641
15,2.451371,2.46265
15,2.464262,2.463134
15,2.446537,2.460717
15,2.465873,2.460233
15,2.452982,2.460556
15,2.470707,2.460878
15,2.469096,2.461039
15,2.456205,2.461523
15,2.459428,2.460233
15,2.462651,2.459911
15,2.454594,2.460233
15,2.467484,2.460556
15,2.441703,2.460072
15,2.454594,2.458944
15,2.441703,2.457816
15,2.469096,2.457655
15,2.459428,2.456688
16,2.444926,2.45556
16,2.462651,2.455883
16,2.443314,2.453949
16,2.451371,2.453627
16,2.469096,2.453788
16,2.451371,2.454755
16,2.452982,2.454593
16,2.441703,2.454594
16,2.456205,2.453305
16,2.454594,2.452821
16,2.467484,2.455077
16,2.454594,2.454271
16,2.465873,2.456527
16,2.419144,2.453305
16,2.465873,2.452982
16,2.464262,2.454272
16,2.464262,2.4554
17,2.444926,2.455722
17,2.457816,2.455883
17,2.452982,2.455722
17,2.457816,2.454755
17,2.454594,2.454755
17,2.457816,2.453949
17,2.440091,2.456044
17,2.464262,2.455883
17,2.464262,2.455883
17,2.444926,2.453949
17,2.465873,2.456044
17,2.444926,2.454755
17,2.443314,2.453788
17,2.446537,2.45266
17,2.44976,2.452177
17,2.454594,2.451854
17,2.457816,2.453627
18,2.423978,2.449599
18,2.459428,2.449115
18,2.444926,2.449115
18,2.456205,2.448148
18,2.451371,2.448793
18,2.443314,2.448793
18,2.469096,2.451048
18,2.456205,2.451693
18,2.435257,2.449759
18,2.470707,2.451049
18,2.456205,2.454271
18,2.451371,2.453466
18,2.444926,2.453465
18,2.452982,2.453143
18,2.444926,2.452499
18,2.454594,2.453627
19,2.451371,2.451854
19,2.467484,2.452982
19,2.451371,2.454594
19,2.47393,2.454916
