time,voltage,average_voltage
0,2.446537,2.446537
0,2.462651,2.454594
0,2.456205,2.455131
0,2.440091,2.451371
0,2.436869,2.448471
0,2.454594,2.449491
0,2.452982,2.44999
0,2.446537,2.449558
0,2.446537,2.449223
0,2.451371,2.449437
0,2.465873,2.451371
0,2.464262,2.451532
0,2.454594,2.451371
0,2.44976,2.452338
0,2.452982,2.453949
0,2.451371,2.453627
0,2.457816,2.45411
0,2.444926,2.453949
0,2.461039,2.455399
0,2.464262,2.456688
0,2.451371,2.455238
0,2.446537,2.453466
0,2.459428,2.453949
0,2.454594,2.454432
0,2.454594,2.454594
0,2.441703,2.453627
0,2.47393,2.455238
0,2.441703,2.454916
1,2.440091,2.452821
1,2.430423,2.449438
1,2.456205,2.449921
1,2.444926,2.44976
1,2.433646,2.447181
1,2.462651,2.447987
1,2.433646,2.445892
1,2.470707,2.448793
1,2.47393,2.448793
1,2.430423,2.447665
1,2.456205,2.449276
1,2.441703,2.450404
1,2.469096,2.451693
1,2.459428,2.453144
1,2.441703,2.453949
1,2.467484,2.454432
1,2.446537,2.455722
1,2.462651,2.454916
1,2.432035,2.450727
1,2.451371,2.452821
1,2.467484,2.453949
2,2.465873,2.456366
2,2.446537,2.45411
2,2.454594,2.453627
2,2.464262,2.455883
2,2.454594,2.454594
2,2.446537,2.454594
2,2.457816,2.45411
2,2.436869,2.454594
2,2.446537,2.45411
2,2.465873,2.453949
2,2.443314,2.451693
2,2.47393,2.454433
2,2.448148,2.453788
2,2.462651,2.453627
2,2.454594,2.453627
2,2.44976,2.453949
2,2.456205,2.453788
2,2.457816,2.455883
2,2.432035,2.454433
2,2.454594,2.453305
3,2.444926,2.453466
3,2.465873,2.45266
3,2.435257,2.451371
3,2.446537,2.44976
3,2.433646,2.447665
3,2.459428,2.448632
3,2.446537,2.447665
3,2.459428,2.447826
3,2.44976,2.449599
3,2.457816,2.449921
3,2.454594,2.450888
3,2.47393,2.451693
3,2.43848,2.452016
3,2.436869,2.451049
3,2.465873,2.454272
3,2.464262,2.454755
3,2.47393,2.457494
3,2.472318,2.458783
3,2.457816,2.459589
4,2.457816,2.459589
4,2.456205,2.45975
4,2.44976,2.457333
4,2.459428,2.459428
4,2.452982,2.461039
4,2.456205,2.460072
4,2.465873,2.460233
4,2.47393,2.460233
4,2.44976,2.457978
4,2.44976,2.457172
4,2.459428,2.457333
4,2.470707,2.458783
4,2.446537,2.458461
4,2.456205,2.458139
4,2.448148,2.457655
4,2.462651,2.4583
4,2.470707,2.458783
4,2.47393,2.458783
5,2.47393,2.4612
5,2.464262,2.462651
5,2.452982,2.462006
5,2.464262,2.461361
5,2.432035,2.459911
5,2.444926,2.458783
5,2.457816,2.45975
5,2.44976,2.458461
5,2.459428,2.457333
5,2.456205,2.45556
5,2.441703,2.452338
5,2.441703,2.450082
5,2.456205,2.450404
5,2.454594,2.449438
5,2.464262,2.45266
5,2.461039,2.454271
5,2.43848,2.452338
5,2.44976,2.452338
6,2.452982,2.451693
6,2.47393,2.453466
6,2.465873,2.455883
6,2.440091,2.455722
6,2.465873,2.456689
6,2.47393,2.458622
6,2.432035,2.4554
6,2.43848,2.453144
6,2.462651,2.455561
6,2.462651,2.45685
6,2.462651,2.457816
6,2.464262,2.45685
6,2.44976,2.455238
6,2.441703,2.455399
6,2.47393,2.456205
6,2.467484,2.45556
6,2.467484,2.459105
7,2.472318,2.462489
7,2.444926,2.460717
7,2.452982,2.45975
7,2.456205,2.459105
7,2.427201,2.455399
7,2.444926,2.454916
7,2.456205,2.456366
7,2.462651,2.455238
7,2.44976,2.453466
7,2.459428,2.45266
7,2.452982,2.450726
7,2.444926,2.450726
7,2.457816,2.45121
7,2.436869,2.449276
7,2.44976,2.451532
7,2.456205,2.45266
8,2.428812,2.449921
8,2.433646,2.44702
8,2.465873,2.448632
8,2.465873,2.449276
8,2.47393,2.451371
8,2.452982,2.452177
8,2.467484,2.453144
8,2.464262,2.455883
8,2.456205,2.456527
8,2.472318,2.458139
8,2.441703,2.459428
8,2.454594,2.461523
