time,voltage
1719682807505748000,1.100755
1719682807510103000,1.147485
1719682807514517000,1.157153
1719682807519015000,1.103978
1719682807523618000,1.1781
1719682807528056000,1.241044
1719682807577243000,1.03469
1719682807581608000,1.086253
1719682807586073000,1.163598
1719682807590980000,1.250712
1719682807596028000,1.176489
1719682807601484000,1.136205
1719682807607078000,1.241044
1719682807651008000,1.163598
1719682807655826000,1.12976
1719682807661155000,1.087864
1719682807666824000,1.200659
1719682807709587000,1.128148
1719682807747016000,1.116869
1719682807790558000,1.136205
1719682807840207000,1.036301
1719682807878850000,1.05886
1719682807960164000,1.047581
1719682807997322000,1.074974
1719682808043064000,1.066917
1719682808088004000,1.102367
1719682808139124000,1.066917
1719682808180731000,1.021799
1719682808221407000,1.057249
1719682808267158000,1.076585
1719682808304804000,1.081419
1719682808346166000,1.08303
1719682808390718000,1.14265
1719682808437288000,1.086253
1719682808483289000,1.052415
1719682808522766000,1.068528
1719682808608766000,1.092699
1719682808648277000,1.095921
1719682808692825000,1.157153
1719682808746135000,1.036301
1719682808794776000,1.105589
1719682808839757000,1.050803
1719682808880246000,1.073362
1719682808924957000,1.055637
1719682808967097000,1.065305
1719682809008490000,1.062083
1719682809052298000,1.128148
1719682809097213000,1.113646
1719682809140001000,1.097533
1719682809186399000,1.054026
1719682809275976000,1.099144
1719682809317782000,1.141039
1719682809358341000,1.091087
1719682809400533000,1.091087
1719682809443759000,1.02341
1719682809487129000,1.052415
1719682809537217000,1.139428
1719682809583663000,1.049192
1719682809632923000,1.12976
1719682809676088000,1.131371
1719682809722411000,1.08303
1719682809767519000,1.033078
1719682809814955000,1.134594
1719682809861937000,1.099144
1719682809953171000,1.087864
1719682810000121000,1.113646
1719682810043872000,1.062083
1719682810085667000,1.026633
1719682810131407000,1.071751
1719682810177750000,1.112035
1719682810224335000,1.03469
1719682810274466000,1.134594
1719682810321313000,1.108812
1719682810369426000,1.049192
1719682810415209000,1.136205
1719682810465212000,1.068528
1719682810512267000,1.047581
1719682810562450000,1.110423
1719682810662142000,1.105589
1719682810712978000,1.055637
1719682810761646000,1.136205
1719682810812768000,1.039524
1719682810859159000,1.113646
1719682810907382000,1.062083
1719682810952924000,1.073362
1719682810997911000,1.102367
1719682811047917000,1.062083
1719682811098165000,1.139428
1719682811153210000,1.033078
1719682811210695000,1.052415
1719682811262564000,1.121703
1719682811314139000,1.057249
1719682811407783000,1.054026
1719682811460535000,1.126537
1719682811513288000,1.026633
1719682811567156000,1.062083
1719682811619795000,1.113646
1719682811675799000,1.073362
1719682811729777000,1.062083
1719682811781231000,1.11848
1719682811830600000,1.025022
1719682811880256000,1.108812
1719682811932692000,1.020188
1719682811983011000,1.131371
1719682812034707000,1.063694
1719682812087623000,1.124926
1719682812190330000,1.03469
1719682812243176000,1.128148
1719682812292696000,1.015354
1719682812343441000,1.116869
1719682812394432000,1.026633
1719682812445976000,1.115258
1719682812505311000,1.11848
1719682812557935000,1.074974
1719682812617281000,1.054026
1719682812674326000,1.05886
1719682812729200000,1.091087
1719682812780728000,1.087864
1719682812833300000,1.057249
1719682812887515000,1.128148
1719682812991240000,1.086253
1719682813045235000,1.14265
1719682813104061000,1.116869
1719682813163762000,1.097533
1719682813218163000,1.020188
1719682813273082000,1.052415
1719682813326228000,1.115258
1719682813378436000,1.031467
1719682813435972000,1.037913
1719682813492727000,1.084642
1719682813549457000,1.124926
1719682813603932000,1.076585
1719682813657177000,1.065305
1719682813711360000,1.136205
1719682813818865000,1.123314
1719682813881731000,1.049192
1719682813938970000,1.055637
1719682814027688000,1.11848
1719682814060957000,1.025022
1719682814094474000,1.108812
1719682814127303000,1.108812
1719682814161180000,1.057249
1719682814197689000,1.044358
1719682814240570000,1.050803
1719682814280900000,1.028244
1719682814321807000,1.041135
1719682814358003000,1.057249
1719682814396536000,1.062083
1719682814474441000,1.091087
1719682814508228000,1.139428
1719682814547899000,1.11848
1719682814586262000,1.102367
1719682814623803000,1.057249
1719682814665442000,1.086253
1719682814699215000,1.039524
1719682814734069000,1.108812
1719682814774498000,1.115258
1719682814809938000,1.14265
1719682814851500000,1.141039
1719682814890843000,1.11848
1719682814936194000,1.092699
1719682814974956000,1.126537
1719682815059612000,1.050803
1719682815096150000,1.136205
1719682815138273000,1.05886
1719682815177720000,1.081419
1719682815217257000,1.100755
1719682815258321000,1.071751
1719682815301782000,1.031467
1719682815350472000,1.100755
1719682815389676000,1.089476
1719682815427134000,1.07014
1719682815468095000,1.057249
1719682815507741000,1.076585
1719682815552434000,1.102367
1719682815600967000,1.041135
1719682815691202000,1.126537
1719682815730837000,1.08303
1719682815776985000,1.141039
1719682815817201000,1.103978
1719682815864771000,1.026633
1719682815914115000,1.14265
