time,voltage
1719683317500671000,1.126537
1719683317505016000,1.15393
1719683317509461000,1.116869
1719683317513771000,1.107201
1719683317565958000,1.103978
1719683317570003000,1.071751
1719683317574200000,1.131371
1719683317578672000,1.224829
1719683317583571000,1.242655
1719683317588612000,1.141039
1719683317594060000,1.161987
1719683317599689000,1.253935
1719683317649471000,1.031467
1719683317654232000,1.11848
1719683317659464000,1.205493
1719683317664870000,1.1781
1719683317670907000,1.152318
1719683317714188000,1.074974
1719683317758699000,1.14265
1719683317795244000,1.045969
1719683317881352000,1.147485
1719683317919564000,1.134594
1719683317960097000,1.11848
1719683318000565000,1.141039
1719683318041676000,1.121703
1719683318084065000,1.086253
1719683318122009000,1.103978
1719683318158131000,1.12976
1719683318197643000,1.128148
1719683318239124000,1.124926
1719683318279423000,1.116869
1719683318321855000,1.139428
1719683318363651000,1.115258
1719683318406059000,1.049192
1719683318494225000,1.100755
1719683318538664000,1.12976
1719683318580562000,1.124926
1719683318626524000,1.045969
1719683318673663000,1.141039
1719683318717248000,1.149096
1719683318762046000,1.103978
1719683318809807000,1.066917
1719683318851505000,1.065305
1719683318894688000,1.124926
1719683318936935000,1.134594
1719683318978287000,1.134594
1719683319024183000,1.060472
1719683319070064000,1.065305
1719683319168702000,1.044358
1719683319221303000,1.037913
1719683319266038000,1.028244
1719683319312118000,1.108812
1719683319356057000,1.149096
1719683319402944000,1.052415
1719683319450976000,1.105589
1719683319497769000,1.116869
1719683319545496000,1.05886
1719683319596945000,1.103978
1719683319645093000,1.033078
1719683319690844000,1.116869
1719683319734453000,1.160375
1719683319779377000,1.07014
1719683319872998000,1.108812
1719683319915023000,1.124926
1719683319959771000,1.055637
1719683320004596000,1.044358
1719683320054282000,1.14265
1719683320100778000,1.013742
1719683320145029000,1.045969
1719683320191382000,1.123314
1719683320236359000,1.102367
1719683320281958000,1.050803
1719683320334974000,1.115258
1719683320384350000,1.033078
1719683320436006000,1.079808
1719683320486571000,1.078196
1719683320586350000,1.095921
1719683320631154000,1.12976
1719683320677319000,1.042747
1719683320725293000,1.108812
1719683320773864000,1.089476
