time,voltage,average_voltage
4057000,2.50948,2.50948
9016000,2.519148,2.514314
13854000,2.511092,2.51324
18847000,2.482087,2.505452
24188000,2.523983,2.509158
29657000,2.503035,2.508137
35220000,2.50948,2.508329
40992000,2.517537,2.50948
47245000,2.519148,2.510555
53460000,2.507869,2.510286
124653000,2.515926,2.510799
130126000,2.514314,2.511092
136117000,2.532039,2.512703
142116000,2.504646,2.512128
148525000,2.494978,2.510985
155178000,2.522371,2.511696
161989000,2.517537,2.51204
227981000,2.506258,2.511718
272279000,2.511092,2.511685
318810000,2.517537,2.511978
365707000,2.530428,2.512857
415795000,2.515926,2.512996
461567000,2.523983,2.513474
509606000,2.503035,2.513039
552205000,2.504646,2.512703
600021000,2.525594,2.513199
644212000,2.527205,2.513718
691978000,2.507869,2.513509
741643000,2.52076,2.513759
790853000,2.533651,2.514422
892756000,2.504646,2.514107
936735000,2.519148,2.514264
981137000,2.523983,2.514559
1030808000,2.535262,2.515168
1078799000,2.52076,2.515327
1125280000,2.511092,2.51521
1173222000,2.499812,2.514794
1223099000,2.517537,2.514866
1272300000,2.511092,2.514769
1323775000,2.532039,2.515201
1375906000,2.527205,2.515494
1420461000,2.525594,2.515734
1465097000,2.528817,2.516038
1513770000,2.533651,2.516439
1559796000,2.517537,2.516463
1679131000,2.507869,2.516276
1730430000,2.522371,2.516406
1779902000,2.522371,2.51653
1826242000,2.538485,2.516978
1871377000,2.517537,2.516989
1917909000,2.515926,2.516969
1967115000,2.517537,2.516979
2016736000,2.50948,2.516838
2065881000,2.52076,2.516911
2113540000,2.541708,2.517361
2162605000,2.522371,2.517451
2214523000,2.52076,2.517509
2264144000,2.528817,2.517704
2313840000,2.512703,2.51762
2365438000,2.527205,2.517779
2480530000,2.515926,2.517749
2531173000,2.519148,2.517771
2580717000,2.49659,2.517435
2630827000,2.507869,2.517286
2679683000,2.523983,2.517389
2732380000,2.522371,2.517464
2786991000,2.543319,2.51785
2835321000,2.517537,2.517846
2886051000,2.530428,2.518028
2939007000,2.506258,2.51786
2991806000,2.511092,2.517765
3040394000,2.519148,2.517784
3092865000,2.514314,2.517736
3143505000,2.528817,2.517886
3199924000,2.506258,2.517731
3327387000,2.517537,2.517728
3382764000,2.498201,2.517475
3435950000,2.504646,2.51731
3488337000,2.530428,2.517476
3538454000,2.514314,2.517437
3592413000,2.503035,2.517259
3647392000,2.528817,2.5174
3705066000,2.519148,2.517421
3754969000,2.504646,2.517269
3808434000,2.50948,2.517177
3873924000,2.511092,2.517107
3933668000,2.528817,2.517241
3988826000,2.528817,2.517373
4050214000,2.522371,2.517429
4105126000,2.533651,2.517609
4222813000,2.527205,2.517715
4277818000,2.535262,2.517905
4334130000,2.525594,2.517988
4392527000,2.507869,2.51788
4446182000,2.519148,2.517894
4499542000,2.491755,2.517622
4553342000,2.514314,2.517587
4607197000,2.50948,2.517505
4668033000,2.530428,2.517635
4723359000,2.511092,2.51757
4788010000,2.522371,2.517617
4849053000,2.535262,2.51779
4902796000,2.517537,2.517788
4956989000,2.507869,2.517693
5012689000,2.517537,2.517691
5141335000,2.49659,2.517492
5208024000,2.482087,2.517161
5266614000,2.530428,2.517284
5323832000,2.517537,2.517286
5381257000,2.533651,2.517435
5439711000,2.50948,2.517364
5496008000,2.528817,2.517466
5558860000,2.522371,2.517509
5621717000,2.535262,2.517665
5681125000,2.506258,2.517566
5738821000,2.515926,2.517552
5796400000,2.494978,2.517359
5854106000,2.517537,2.51736
5915716000,2.527205,2.517443
5972656000,2.523983,2.517497
6097573000,2.517537,2.517498
6158661000,2.523983,2.517551
