time,voltage,average_voltage
4002000,2.47393,2.47393
509366000,2.456205,2.465067
1014683000,2.456205,2.462113
1519979000,2.441703,2.457011
2025435000,2.448148,2.455238
2531281000,2.454594,2.455131
3037115000,2.464262,2.456435
3543068000,2.464262,2.457414
4098449000,2.456205,2.457279
4604135000,2.470707,2.458622
5110044000,2.461039,2.458842
5616198000,2.464262,2.459294
6122603000,2.462651,2.459552
6629427000,2.448148,2.458737
7136289000,2.444926,2.457817
7691110000,2.440091,2.456709
8197426000,2.44976,2.4563
8747889000,2.446537,2.455758
9299869000,2.465873,2.45629
9842969000,2.44976,2.455964
10389475000,2.440091,2.455208
10937038000,2.472318,2.455985
11486132000,2.459428,2.456135
12033666000,2.456205,2.456138
12584658000,2.446537,2.455754
13182444000,2.443314,2.455275
13728467000,2.440091,2.454713
14277202000,2.456205,2.454767
14818081000,2.446537,2.454483
15361474000,2.461039,2.454701
15908513000,2.457816,2.454802
16451230000,2.465873,2.455148
16995869000,2.454594,2.455131
17542475000,2.465873,2.455447
18094044000,2.456205,2.455468
18640400000,2.457816,2.455534
19183446000,2.451371,2.455421
19727751000,2.444926,2.455145
20272499000,2.456205,2.455172
20867371000,2.443314,2.454876
21416898000,2.448148,2.454712
21967153000,2.44976,2.454594
22517859000,2.448148,2.454444
23068325000,2.461039,2.454594
23614450000,2.464262,2.454809
24160667000,2.441703,2.454524
24706907000,2.452982,2.454491
25257433000,2.44976,2.454392
25807784000,2.430423,2.453903
26360707000,2.464262,2.45411
26912704000,2.436869,2.453772
27462388000,2.451371,2.453726
28010730000,2.448148,2.453621
28611642000,2.454594,2.453639
29161426000,2.452982,2.453627
29706048000,2.472318,2.453961
30255045000,2.454594,2.453972
30807865000,2.446537,2.453844
31357395000,2.467484,2.454075
31913861000,2.436869,2.453788
32462792000,2.448148,2.453696
33009522000,2.44976,2.453632
33558904000,2.456205,2.453673
34115322000,2.444926,2.453536
34667959000,2.432035,2.453206
35222549000,2.462651,2.453349
35775620000,2.451371,2.453319
36376113000,2.462651,2.453456
36924620000,2.454594,2.453473
37475847000,2.448148,2.453397
38025799000,2.454594,2.453413
38581930000,2.465873,2.453586
39140757000,2.423978,2.453181
39698956000,2.446537,2.453091
40252309000,2.469096,2.453305
40807405000,2.43848,2.453109
41360718000,2.451371,2.453087
41913705000,2.457816,2.453147
42466639000,2.465873,2.453308
43021104000,2.427201,2.452982
43576447000,2.452982,2.452982
44181126000,2.456205,2.453021
44738399000,2.452982,2.453021
45291619000,2.469096,2.453212
45842889000,2.467484,2.45338
46408276000,2.44976,2.453338
46962034000,2.469096,2.453519
47522091000,2.433646,2.453293
48078583000,2.446537,2.453218
48640203000,2.452982,2.453215
49194519000,2.440091,2.453071
49749734000,2.462651,2.453175
50303708000,2.457816,2.453225
50860469000,2.462651,2.453325
51414501000,2.441703,2.453202
52022668000,2.433646,2.452999
52577863000,2.441703,2.452882
53136709000,2.456205,2.452916
53697148000,2.58038,2.454204
54251363000,2.457816,2.45424
54807570000,2.452982,2.454227
55365049000,2.538485,2.455053
55920117000,2.433646,2.454845
56483210000,2.44976,2.454796
57040071000,2.443314,2.454687
57607380000,2.454594,2.454686
58172196000,2.456205,2.4547
58729600000,2.330519,2.453551
59291245000,2.47393,2.453737
59900596000,2.456205,2.45376
