time,voltage,average_voltage
4262000,4.770712,4.770712
9538000,4.748153,4.759432
14930000,4.786825,4.768563
20289000,4.794882,4.775143
25803000,4.777157,4.775546
31268000,4.752987,4.771786
97711000,4.770712,4.771633
102803000,4.732039,4.766684
108247000,4.773934,4.767489
113918000,4.764266,4.767167
119829000,4.757821,4.765878
126043000,4.786825,4.769745
132784000,4.759432,4.767005
191551000,4.761044,4.763621
197347000,4.793271,4.765233
203361000,4.778769,4.767811
209823000,4.770712,4.767812
260621000,4.80455,4.775063
307312000,4.748153,4.772485
352223000,4.764266,4.772484
396998000,4.762655,4.772967
444082000,4.78038,4.772323
491950000,4.812607,4.77764
595491000,4.772323,4.778769
643662000,4.785214,4.777963
691232000,4.796493,4.779735
737713000,4.769101,4.779574
782606000,4.785214,4.77764
823383000,4.777157,4.780541
865681000,4.74493,4.778607
910909000,4.722371,4.774579
952212000,4.770712,4.773612
997209000,4.810996,4.773451
1041529000,4.764266,4.772645
1091363000,4.757821,4.769906
1137384000,4.749764,4.765233
1179360000,4.762655,4.764588
1222886000,4.712703,4.757337
1327920000,4.786825,4.758304
1376402000,4.751376,4.758949
1425913000,4.773934,4.764105
1471987000,4.775546,4.764589
1516417000,4.775546,4.761044
1560633000,4.757821,4.760399
1607615000,4.78038,4.762655
1654546000,4.757821,4.763461
1703011000,4.778769,4.765072
1755031000,4.74493,4.768295
1804961000,4.740096,4.763622
1852592000,4.738485,4.762333
1899409000,4.751376,4.760077
1948086000,4.72076,4.754598
1994337000,4.788436,4.755887
2107265000,4.785214,4.758626
2157642000,4.773934,4.757982
2206878000,4.78038,4.760238
2257351000,4.746542,4.757015
2303594000,4.752987,4.757821
2351550000,4.772323,4.761044
2399615000,4.785214,4.765717
2452737000,4.746542,4.765233
2504575000,4.770712,4.770228
2554770000,4.777157,4.769101
2603660000,4.751376,4.765717
2650511000,4.765878,4.764911
2697513000,4.769101,4.763783
2749076000,4.764266,4.765555
2797011000,4.754598,4.765717
2908891000,4.746542,4.763138
2963456000,4.773934,4.76201
3016681000,4.757821,4.763138
3067456000,4.759432,4.762011
3117710000,4.769101,4.761205
3166662000,4.785214,4.764588
3219505000,4.759432,4.763944
3271365000,4.781991,4.765233
3326196000,4.786825,4.767489
3376891000,4.74493,4.766522
3426891000,4.725594,4.764428
3478329000,4.757821,4.762816
3531166000,4.762655,4.763299
3591049000,4.761044,4.763461
3645954000,4.754598,4.76201
3765842000,4.796493,4.763138
3818128000,4.764266,4.763622
3871083000,4.770712,4.762494
3920501000,4.788436,4.762655
3974126000,4.738485,4.762011
4027376000,4.752987,4.76475
4080751000,4.74493,4.763461
4138062000,4.762655,4.763461
4197156000,4.778769,4.765233
4248045000,4.728817,4.762654
4299978000,4.757821,4.758788
4352985000,4.752987,4.75766
4404439000,4.796493,4.760238
4463373000,4.773934,4.758788
4517978000,4.790048,4.763944
4638831000,4.738485,4.762494
4700793000,4.759432,4.763944
4752158000,4.786825,4.766361
4811018000,4.786825,4.767167
4862823000,4.759432,4.770228
4913886000,4.773934,4.77184
4972800000,4.778769,4.774418
5031416000,4.793271,4.774096
5095177000,4.736874,4.77039
5153100000,4.786825,4.770068
5209988000,4.777157,4.773934
5263048000,4.707869,4.768779
5321679000,4.791659,4.769262
5376739000,4.759432,4.766522
5437388000,4.775546,4.768134
5565890000,4.773934,4.768134
5624130000,4.746542,4.764911
5684212000,4.757821,4.761365
5740637000,4.788436,4.766522
5795019000,4.770712,4.764911
5851693000,4.765878,4.763783
5907486000,4.759432,4.768939
5967583000,4.773934,4.767167
6025270000,4.796493,4.770873
6083165000,4.791659,4.772484
6145437000,4.796493,4.77474
6208250000,4.773934,4.77748
6267833000,4.773934,4.779091
6324359000,4.769101,4.777157
6386353000,4.777157,4.777802
6507437000,4.773934,4.778607
6575749000,4.770712,4.779735
6634326000,4.751376,4.777479
6695997000,4.777157,4.775546
6755028000,4.772323,4.773612
6814893000,4.777157,4.771678
6872673000,4.735262,4.767812
6929794000,4.770712,4.767489
6993097000,4.740096,4.764589
7056477000,4.778769,4.76475
7163100000,4.772323,4.764589
7204222000,4.735262,4.761044
7245194000,4.752987,4.761205
7288961000,4.767489,4.760238
7341053000,4.762655,4.759271
7446683000,4.764266,4.757982
7486345000,4.764266,4.760882
7529092000,4.794882,4.763299
7571950000,4.754598,4.76475
7612086000,4.767489,4.763621
7654401000,4.764266,4.762816
7698702000,4.761044,4.765395
7745598000,4.769101,4.767005
7791709000,4.81583,4.77184
7836802000,4.788436,4.774418
7875310000,4.772323,4.775224
7919656000,4.764266,4.775224
7974790000,4.783603,4.774096
8023856000,4.791659,4.777802
8070298000,4.785214,4.779574
8171207000,4.78038,4.781186
8214662000,4.783603,4.783442
8261625000,4.783603,4.784892
8303803000,4.773934,4.780702
8348284000,4.740096,4.775868
8394486000,4.740096,4.772645
8436125000,4.772323,4.773451
8483087000,4.757821,4.770873
8527776000,4.783603,4.770068
8571007000,4.764266,4.767972
8617112000,4.735262,4.763461
8663132000,4.759432,4.761044
8709425000,4.764266,4.75911
8760457000,4.767489,4.758466
8806760000,4.788436,4.763299
8921792000,4.796493,4.768939
8967480000,4.748153,4.766522
9013294000,4.73365,4.764105
9061641000,4.749764,4.760722
9109153000,4.769101,4.761205
9156808000,4.791659,4.766845
9204366000,4.770712,4.767972
9247989000,4.751376,4.766684
9292000000,4.765878,4.766522
9338302000,4.772323,4.764911
9387145000,4.783603,4.763622
9437199000,4.740096,4.762816
9491788000,4.754598,4.764911
9539940000,4.806161,4.770551
9585190000,4.767489,4.77039
9693378000,4.773934,4.768617
9741104000,4.781991,4.769745
9792111000,4.770712,4.771678
9844201000,4.74493,4.769584
9895893000,4.78038,4.770389
9945486000,4.810996,4.773129
9992751000,4.73365,4.772485
10041465000,4.725594,4.769584
10090273000,4.78038,4.767006
10140703000,4.767489,4.767005
10198001000,4.762655,4.765878
10252253000,4.741707,4.761849
10301757000,4.741707,4.758948
10354053000,4.773934,4.761849
10407276000,4.751376,4.758949
10522049000,4.783603,4.75621
10573762000,4.762655,4.75911
10626252000,4.777157,4.764266
10682383000,4.761044,4.762332
10735909000,4.767489,4.762332
10788147000,4.764266,4.762494
10838139000,4.759432,4.764267
10886726000,4.778769,4.767972
10939797000,4.778769,4.768456
10988357000,4.735262,4.766845
11040395000,4.749764,4.763461
11090528000,4.761044,4.763299
11149093000,4.762655,4.761849
11201966000,4.772323,4.762977
11251166000,4.78038,4.764266
11361399000,4.785214,4.766361
11411675000,4.772323,4.76765
11464718000,4.80455,4.770228
11519652000,4.765878,4.768939
11572709000,4.802939,4.775707
11622983000,4.770712,4.777802
11680457000,4.794882,4.781186
11734365000,4.775546,4.782475
11788239000,4.764266,4.781669
11843495000,4.770712,4.780702
11902057000,4.791659,4.781347
11956348000,4.764266,4.780541
12013429000,4.778769,4.777963
12067300000,4.772323,4.778607
12122673000,4.793271,4.777641
12238710000,4.778769,4.778446
12293366000,4.761044,4.775062
12350248000,4.756209,4.773129
12406464000,4.757821,4.772484
12464905000,4.778769,4.77329
12517013000,4.765878,4.770711
12573285000,4.767489,4.771034
12629812000,4.740096,4.767167
12690233000,4.757821,4.765717
12747088000,4.78038,4.764428
12803216000,4.802939,4.766845
12859196000,4.754598,4.7662
12913112000,4.80455,4.771034
12966161000,4.741707,4.769423
13024780000,4.761044,4.76765
13137753000,4.793271,4.77039
13198698000,4.814218,4.775062
13260170000,4.741707,4.775223
13321692000,4.78038,4.777479
13379573000,4.727205,4.772162
13437402000,4.749764,4.766844
13494122000,4.754598,4.766844
13552968000,4.778769,4.764266
13611899000,4.741707,4.764266
13674046000,4.738485,4.76201
13731732000,4.740096,4.756693
13788762000,4.772323,4.752503
13846892000,4.80455,4.758788
13905178000,4.777157,4.758466
13971747000,4.765878,4.762332
14094260000,4.749764,4.762332
14155909000,4.799716,4.766845
14215387000,4.772323,4.7662
14275647000,4.793271,4.771356
14334167000,4.762655,4.773773
14396018000,4.767489,4.776513
14453958000,4.761044,4.775385
14515663000,4.761044,4.771034
14579845000,4.752987,4.768617
14644770000,4.759432,4.767972
14738635000,4.802939,4.77329
14778129000,4.777157,4.771034
14815614000,4.775546,4.771357
14861021000,4.785214,4.770551
14901628000,4.740096,4.768295
15009751000,4.772323,4.768778
15055770000,4.775546,4.770228
15092213000,4.796493,4.773774
15137638000,4.751376,4.773612
15177042000,4.770712,4.774741
15214277000,4.74493,4.768939
15259105000,4.765878,4.767811
15302294000,4.765878,4.766845
15353748000,4.806161,4.768939
15396324000,4.775546,4.772484
15436742000,4.788436,4.774096
15475587000,4.759432,4.772484
15522047000,4.796493,4.772484
15564475000,4.772323,4.774579
15612185000,4.773934,4.774901
15722340000,4.791659,4.779574
15766602000,4.777157,4.780702
15812613000,4.764266,4.780541
15854798000,4.765878,4.776513
15895441000,4.785214,4.77748
15937121000,4.773934,4.776029
15978079000,4.783603,4.778446
16024047000,4.783603,4.777157
16067743000,4.764266,4.776351
16111102000,4.748153,4.773774
16159674000,4.778769,4.772485
16208529000,4.762655,4.771034
16255352000,4.736874,4.768294
16299665000,4.775546,4.769261
16348302000,4.78038,4.768778
16456200000,4.775546,4.768939
16509930000,4.783603,4.768939
16555840000,4.759432,4.766522
16604750000,4.772323,4.767328
16650174000,4.791659,4.771679
16693991000,4.764266,4.770229
16736393000,4.78038,4.772001
16780164000,4.748153,4.773129
16829670000,4.754598,4.771034
16878754000,4.727205,4.765717
16935702000,4.772323,4.765395
16984206000,4.80455,4.767489
17033472000,4.796493,4.771195
17083720000,4.770712,4.771034
17143003000,4.762655,4.768133
17251689000,4.770712,4.768777
17298239000,4.757821,4.766522
17348995000,4.765878,4.768294
17398480000,4.754598,4.768294
17447038000,4.796493,4.775224
17500933000,4.788436,4.776835
17555648000,4.746542,4.771034
17610704000,4.822275,4.773612
17664870000,4.757821,4.772323
17717170000,4.749764,4.771033
17764936000,4.777157,4.771678
17817554000,4.761044,4.772001
17876784000,4.761044,4.771517
17940356000,4.759432,4.772001
17994955000,4.773934,4.769745
18102716000,4.752987,4.7662
18152782000,4.788436,4.770389
18206287000,4.772323,4.765394
18257680000,4.777157,4.767328
18309705000,4.764266,4.768778
18362418000,4.761044,4.767167
18411725000,4.728817,4.763944
18464672000,4.770712,4.764911
18517967000,4.759432,4.764911
18569416000,4.765878,4.764106
18622948000,4.788436,4.76765
18676599000,4.764266,4.765233
18730469000,4.764266,4.764428
18789271000,4.761044,4.762816
18842140000,4.773934,4.763783
18963988000,4.778769,4.765555
19015729000,4.761044,4.768778
19068832000,4.78038,4.769745
19125813000,4.762655,4.770067
19181578000,4.783603,4.771839
19237490000,4.785214,4.771517
19293813000,4.775546,4.772645
19344511000,4.786825,4.774901
19397551000,4.793271,4.778124
19453104000,4.81583,4.782313
19507674000,4.78038,4.782475
19565121000,4.806161,4.786986
19627976000,4.802939,4.789242
19685641000,4.78038,4.791015
19737541000,4.78038,4.790693
19855227000,4.790048,4.791176
19908685000,4.775546,4.791176
19965635000,4.770712,4.789565
20026346000,4.73365,4.783603
20084768000,4.770712,4.779091
20141054000,4.741707,4.775224
20194007000,4.772323,4.77184
20250609000,4.738485,4.765394
20306128000,4.74493,4.761849
20371852000,4.793271,4.763138
