time,voltage,average_voltage
4428000,2.511092,2.511092
9839000,2.522371,2.516731
15147000,2.504646,2.512703
20417000,2.511092,2.5123
86072000,2.52076,2.513992
90970000,2.523983,2.515657
96131000,2.515926,2.515696
101599000,2.535262,2.518141
107210000,2.538485,2.520402
113281000,2.533651,2.521727
119387000,2.528817,2.522371
125838000,2.501424,2.520625
186258000,2.504646,2.519396
191849000,2.528817,2.520069
198020000,2.499812,2.518719
204242000,2.530428,2.519451
211054000,2.50948,2.518864
218344000,2.512703,2.518522
268039000,2.527205,2.518979
361029000,2.532039,2.519632
405002000,2.50948,2.519149
448720000,2.515926,2.519002
496445000,2.523983,2.519219
537458000,2.506258,2.518678
581030000,2.52076,2.518762
622168000,2.514314,2.518591
673350000,2.530428,2.519029
719928000,2.527205,2.519321
768985000,2.517537,2.51926
814384000,2.514314,2.519095
857134000,2.515926,2.518992
903744000,2.52076,2.519048
946441000,2.52076,2.5191
991437000,2.519148,2.519101
1103778000,2.501424,2.518596
1157369000,2.522371,2.518701
1202695000,2.517537,2.51867
1245177000,2.523983,2.518809
1290783000,2.52076,2.518859
1334159000,2.515926,2.518786
1379984000,2.527205,2.518991
1435234000,2.528817,2.519225
1486942000,2.515926,2.519148
1532536000,2.514314,2.519038
1579829000,2.507869,2.51879
1624023000,2.523983,2.518903
1674492000,2.519148,2.518908
1730249000,2.52076,2.518947
1778909000,2.525594,2.519083
1885081000,2.519148,2.519084
1931813000,2.503035,2.518769
1980494000,2.511092,2.518622
2028532000,2.527205,2.518784
2080736000,2.523983,2.51888
2131779000,2.511092,2.518738
2182661000,2.515926,2.518688
2233056000,2.538485,2.519036
2282143000,2.515926,2.518982
2330041000,2.540096,2.51934
2379487000,2.532039,2.519552
2431572000,2.515926,2.519492
2480515000,2.501424,2.519201
2531043000,2.506258,2.518995
2584520000,2.506258,2.518796
2699459000,2.528817,2.51895
2753188000,2.533651,2.519173
2803897000,2.519148,2.519173
2856633000,2.533651,2.519386
2908243000,2.50948,2.519242
2966812000,2.533651,2.519448
3018020000,2.525594,2.519534
3070650000,2.525594,2.519618
3122334000,2.528817,2.519744
3172871000,2.522371,2.51978
3221440000,2.527205,2.519879
3271387000,2.506258,2.5197
3327210000,2.546541,2.520048
3382087000,2.527205,2.52014
3434559000,2.543319,2.520433
3550265000,2.517537,2.520397
3602913000,2.536873,2.520601
3660383000,2.523983,2.520642
3723128000,2.49659,2.520352
3778490000,2.528817,2.520453
3831595000,2.527205,2.520533
3899190000,2.527205,2.52061
3951439000,2.554598,2.521001
4005448000,2.535262,2.521163
4065796000,2.530428,2.521267
4124635000,2.530428,2.521369
4181462000,2.515926,2.521309
4241109000,2.527205,2.521373
4291699000,2.527205,2.521436
4348693000,2.519148,2.521411
4475293000,2.512703,2.52132
4536551000,2.528817,2.521398
4590109000,2.503035,2.521209
4645492000,2.533651,2.521336
4703260000,2.533651,2.52146
4758912000,2.533651,2.521582
4815462000,2.506258,2.52143
4871297000,2.52076,2.521424
4928606000,2.514314,2.521355
4986435000,2.511092,2.521256
5040071000,2.549764,2.521527
5096312000,2.517537,2.52149
5154473000,2.527205,2.521543
5214233000,2.504646,2.521387
5273776000,2.530428,2.52147
5393984000,2.540096,2.521639
5458064000,2.507869,2.521515
5516576000,2.525594,2.521551
5576881000,2.522371,2.521559
5635627000,2.519148,2.521537
5696993000,2.522371,2.521545
5758917000,2.50948,2.521441
5815241000,2.511092,2.521352
5872729000,2.522371,2.521361
5934133000,2.52076,2.521356
5991831000,2.511092,2.52127
6052000000,2.517537,2.521239
6119101000,2.50948,2.521143
6182383000,2.504646,2.521009
6246310000,2.501424,2.520851
6364910000,2.515926,2.520812
6426789000,2.536873,2.520939
6486200000,2.515926,2.5209
6547147000,2.519148,2.520886
6609775000,2.512703,2.520822
6673624000,2.522371,2.520834
6736442000,2.503035,2.520698
6798542000,2.52076,2.520699
6858047000,2.514314,2.520651
6917843000,2.511092,2.520579
6983077000,2.523983,2.520604
7047922000,2.507869,2.520511
7110770000,2.504646,2.520395
7173504000,2.515926,2.520363
7238105000,2.515926,2.520331
7403976000,2.527205,2.52038
7459413000,2.494978,2.520199
7505206000,2.519148,2.520192
7549556000,2.523983,2.520218
7592618000,2.515926,2.520189
7632241000,2.517537,2.52017
7673116000,2.519148,2.520163
7716165000,2.533651,2.520255
7757701000,2.519148,2.520248
7800444000,2.541708,2.520392
7850384000,2.511092,2.520329
7896081000,2.527205,2.520437
7937213000,2.528817,2.52048
7979580000,2.519148,2.520576
8020073000,2.507869,2.520555
8127508000,2.522371,2.520566
8174323000,2.522371,2.520555
8219341000,2.522371,2.520598
8261280000,2.506258,2.520404
8302868000,2.525594,2.520319
8348513000,2.530428,2.520297
8392820000,2.517537,2.520221
8438452000,2.494978,2.520179
8487891000,2.52076,2.520286
8533869000,2.517537,2.520211
8580587000,2.514314,2.520308
8626184000,2.519148,2.520232
8673667000,2.507869,2.520222
8722316000,2.507869,2.52019
8770306000,2.541708,2.520287
8879147000,2.517537,2.52019
8927812000,2.522371,2.520276
8970376000,2.527205,2.520351
9016196000,2.515926,2.520297
9063956000,2.527205,2.520437
9111919000,2.504646,2.520329
9157664000,2.527205,2.520415
9204863000,2.514314,2.520308
9255598000,2.517537,2.520244
9309226000,2.522371,2.520276
9358414000,2.536873,2.520426
9408799000,2.507869,2.520373
9461854000,2.511092,2.520308
9507800000,2.514314,2.520265
9556046000,2.527205,2.520319
9665470000,2.512703,2.520394
9716657000,2.519148,2.520373
9761583000,2.517537,2.520373
9818438000,2.533651,2.520437
9864807000,2.507869,2.520351
9921325000,2.522371,2.520394
9969142000,2.528817,2.520405
10023703000,2.535262,2.520448
10074794000,2.501424,2.520351
10122079000,2.519148,2.520383
10173299000,2.504646,2.520361
10222099000,2.506258,2.520243
10273359000,2.527205,2.520297
10328540000,2.52076,2.520297
10385183000,2.514314,2.520222
10497125000,2.530428,2.520297
10544869000,2.517537,2.520394
10596052000,2.50948,2.520384
10645070000,2.506258,2.520244
10694517000,2.525594,2.520255
10755188000,2.494978,2.520147
10809808000,2.50948,2.520104
10858678000,2.499812,2.519847
10909493000,2.514314,2.519836
10958395000,2.532039,2.519782
11013602000,2.504646,2.519599
11074165000,2.530428,2.519696
11130099000,2.517537,2.519804
11180785000,2.532039,2.519976
11233944000,2.522371,2.520083
11350712000,2.519148,2.520019
11400235000,2.522371,2.519943
11458023000,2.522371,2.519965
11515959000,2.522371,2.519889
11570725000,2.519148,2.519954
11624549000,2.498201,2.519717
11678283000,2.50948,2.51961
11731004000,2.519148,2.519567
11785195000,2.519148,2.519503
11842081000,2.527205,2.519535
11897064000,2.50948,2.519417
11953338000,2.52076,2.519513
12010658000,2.523983,2.519363
12070548000,2.514314,2.519277
12126972000,2.512703,2.519073
12242829000,2.501424,2.518965
12299311000,2.517537,2.518836
12354487000,2.523983,2.518837
12418097000,2.528817,2.519052
12473718000,2.523983,2.519019
12540162000,2.506258,2.51888
12596170000,2.540096,2.518966
12651027000,2.527205,2.518783
12703944000,2.504646,2.518579
12757071000,2.515926,2.518482
12816077000,2.536873,2.518525
12877248000,2.50948,2.518482
12936331000,2.517537,2.518418
12995564000,2.535262,2.518471
13053417000,2.515926,2.51845
13176251000,2.507869,2.518418
13245508000,2.536873,2.518472
13305567000,2.532039,2.518665
13363347000,2.517537,2.518558
13425452000,2.50948,2.518397
13483816000,2.507869,2.518224
13542341000,2.517537,2.5183
13606247000,2.52076,2.5183
13669869000,2.522371,2.518353
13731565000,2.540096,2.518547
13792376000,2.515926,2.518321
13848826000,2.525594,2.518375
13910012000,2.514314,2.518289
13980112000,2.530428,2.518461
14045988000,2.530428,2.518461
14164088000,2.511092,2.518268
14223984000,2.511092,2.518289
14286290000,2.511092,2.518192
14347965000,2.511092,2.518117
14409123000,2.514314,2.518085
14468617000,2.514314,2.518031
14530722000,2.517537,2.518085
14593443000,2.52076,2.518149
14652493000,2.504646,2.518031
14715532000,2.523983,2.518053
14779261000,2.507869,2.518031
14843397000,2.50948,2.517978
14909972000,2.515926,2.518021
14974477000,2.512703,2.518074
15078042000,2.511092,2.518139
15182597000,2.528817,2.518224
15225959000,2.519148,2.518106
15271003000,2.540096,2.518268
15315279000,2.515926,2.518246
15354853000,2.515926,2.518267
15397174000,2.540096,2.518386
15451527000,2.517537,2.518482
15495763000,2.532039,2.518558
15542137000,2.511092,2.518536
15594128000,2.506258,2.518504
15639711000,2.536873,2.51859
15687676000,2.522371,2.518686
